Year,Time,Bib,Name,Country,Gender,Club
1931,68:30,,Alexis COTTARD,FR,,Audax Club Parisien
1931,68:30,,Gaston RUARD,FR,,Audax Club Parisien
1931,68:30,28,Julien TRANCHANT,FR,,Gambetta Cyclotourisme
1931,69:20,,André DUGARD,FR,,
1931,70:35,,Louis COINTEPAS,FR,,Individuel France
1931,70:55,,Eugène CLAERHOUT,FR,,Gambetta Cyclotourisme
1931,70:55,,Georges MAUPIOUX,FR,,Amis de la Nature
1931,77:08,,Fernand BESNIER,FR,,
1931,77:08,,Émile LIMON,FR,,Audax Club Parisien
1931,79:00,,Pierre BREVET,FR,,Gambetta Cyclotourisme
1931,80:50,,Louis WILLEMIN,FR,,Audax Club Parisien
1931,81:28,,Paul NAUDIN,FR,,Gambetta Cyclotourisme
1931,81:30,,Camille PERTHUIS,FR,,
1931,88:10,,Germaine DANIS,FR,F,Cyclo Club Troyen
1931,88:10,,Jean DANIS,FR,,Cyclo Club Troyen
1931,88:10,,Louis OLLIER,FR,,Audax Club Parisien
1931,88:10,,Jean TERRIER,FR,,
1931,88:30,,Ernest PAILLER,FR,,Audax Club Parisien
1931,88:35,,Juliette PITARD,FR,F,Audax Club Parisien
1931,88:35,,Louis PITARD,FR,,Audax Club Parisien
1931,90:15,,Edmond LESPAGNOL,FR,,
1931,90:25,,Jean Gabriel HUSSON,FR,,Audax Club Parisien
1931,90:25,,Maurice LEGUEULT,FR,,Audax Club Parisien
1931,90:25,,Eugène SEIGNEURAY,FR,,Gambetta Cyclotourisme
1931,90:50,,Maurice TERNAUX,FR,,Audax Club Parisien
1931,91:20,,Jacques GREUX,FR,,CT Parisiens
1931,91:30,,Alexis GORGEON,FR,,Union Audax Cycl. Parisiens
1931,91:30,,Claire GORGEON,FR,F,Union Audax Cycl. Parisiens
1931,91:40,,Charles BELLANTAN,FR,,
1931,91:50,,Étienne DUBOIS,FR,,Union Audax Cycl. Parisiens
1931,91:50,,Georgette DUBOIS,FR,F,Union Audax Cycl. Parisiens
1931,92:00,,Georges ROCHER,FR,,Gambetta Cyclotourisme
1931,92:20,,Ideüs ROËD,FR,,
1931,92:30,,Maurice SCHLAUDER,FR,,
1931,92:55,,Henri JEANNEL,FR,,
1931,93:00,,Paul BLANCHARD,FR,,
1931,93:00,,René FILLIAU,FR,,
1931,93:20,,Gilbert MAURIN,FR,,Gambetta Cyclotourisme
1931,93:25,,Paulette VASSARD,FR,F,Audax Club Parisien
1931,94:00,,Marcel ISAMBERT,FR,,
1931,94:00,,Victor TURPIN,FR,,Gambetta Cyclotourisme
1931,94:10,,André PETITJEAN,FR,,
1931,94:45,,Auguste DESMOTS,FR,,Cyclos de la Sarthe - Le Mans
1931,94:45,,Jules LEGEAY,FR,,Cyclos de la Sarthe - Le Mans
1931,AB,,Léon GIRARDOT,FR,,Audax Club Parisien
1931,AB,,André MAITRE,FR,,Gambetta Cyclotourisme
1931,HD,, GANAYE,FR,,Gambetta Cyclotourisme
1931,HD,,Jeanne MASSON,FR,F,Individuel France
1931,NP,,Raoul MACRON,FR,,
1948,49:20,172,René FOURMY,FR,,Cyclotouristes Grenoblois
1948,49:20,171,Jo ROUTENS,FR,,Cyclotouristes Grenoblois
1948,51:15,197,René BERNARD,FR,,Cyclos Stéphanois
1948,51:15,63,Marcel RAFAITIN,FR,,CO Billancourt
1948,53:40,54,Roger CHÉTIVEAUX,FR,,Cyclos de la Sarthe - Le Mans
1948,53:40,131,Robert COUTELLIER,FR,,US Métro Transports
1948,53:40,23,Jean DEJEANS,FR,,Audax Club Parisien
1948,53:54,174,Paul BILLIOUD,FR,,Cyclotouristes Grenoblois
1948,53:54,173,Marcel GIROUD,FR,,Cyclotouristes Grenoblois
1948,55:48,132,Henri LETRONNIER,FR,,US Métro Transports
1948,57:16,34,Marcel PINEAU,FR,,Union Vélo. Argenteuil
1948,58:02,110,Jacques AUDIBERTI,FR,,VS Nice
1948,58:02,24,Charles PORTHAULT,FR,,Audax Club Parisien
1948,58:51,96,Francis CHAUVET,FR,,C. Ind. Neuville
1948,58:51,97,Raymond MORISSET,FR,,C. Ind. Neuville
1948,58:51,175,Marc VOUHÉ,FR,,Cyclotouristes Poitevins
1948,60:07,119,Gustave BERNARD,FR,,Individuel France
1948,60:57,199,Germain MAYSOUNABE,FR,,Braquet Club Paris
1948,61:29,140,Georges COLLANGE,FR,,Amicale Cyclo Clermontoise
1948,61:56,48,Daniel REBOUR,FR,,Audax Club Parisien
1948,61:56,49,Simone REBOUR,FR,F,Audax Club Parisien
1948,62:47,150,Émilien LEBLANC,FR,,Cyclotouristes Berruyers - Bourges
1948,62:55,205,Georges VIGNAUD,FR,,Cyclotouristes Poitevins
1948,63:23,5,Lionel BRANS,FR,,SC Bois-Colombes
1948,63:23,167,Jean HANRYE,FR,,Cyclos de la Sarthe - Le Mans
1948,63:23,166,Michel OLIVIER,FR,,Cyclos de la Sarthe - Le Mans
1948,66:54,147,Paul CHARREL,FR,,CT Lyon
1948,66:56,62,Marcel GUILLET,FR,,Club Sportif d'Alençon
1948,68:05,198,Léopold GELOT,FR,,VC Vétérans et Ancêtres
1948,68:31,185,Auguste GOUPIL,FR,,CSM Presse
1948,68:36,170,Jean AURE,FR,,Cyclos de la Sarthe - Le Mans
1948,68:36,101,Roger BERTHAUX,FR,,Cyclo Montagnard d'Auvergne
1948,68:37,32,Alfred SURSIN,FR,,AS Touristique
1948,68:48,83,Robert ROUPNEL,FR,,Cyclo Campeurs Parisiens
1948,68:50,12,Fernand AURIBAULT,FR,,Audax Club Parisien
1948,68:50,128,Robert CHARTRAIN,FR,,US Métro Transports
1948,68:50,127,Edmond MARLEUX,FR,,US Métro Transports
1948,68:50,47,André NOËL,FR,,C. Cyclo Xème
1948,68:50,130,Pierre ZENTHNER,FR,,US Métro Transports
1948,69:13,82,Roland BŒUF,FR,,Cyclo Campeurs Parisiens
1948,69:33,103,Jacques CALAMÉ,FR,,Les Cyclotouristes Belfortains
1948,70:40,160,Robert LARGUIER,FR,,Union Cyclo de Touraine - Tours
1948,70:40,184,Jules PELMOINE,FR,,CSM Presse
1948,72:15,20,Michel ENZER,FR,,AC Banlieue Est - Le Perreux
1948,73:13,195,Germain FESAY,FR,,Cyclos Stéphanois
1948,73:13,192,Jacques JACOB,FR,,Amicale Cyclo Briochine - St Brieuc
1948,73:13,196,Maurice NICOLAS,FR,,Cyclos Stéphanois
1948,74:38,164,Edmond SIKORSKI,FR,,Amicale Cyclo Savigny/Orge
1948,74:44,94,René RICHARD,FR,,Cyclotouristes Longjumellois
1948,75:54,98,André CHENARD,FR,,AC Oise
1948,75:54,87,Georges RENET,FR,,Touring Club de France
1948,76:05,85,Roger BESSE,FR,,Cyclo Campeurs Parisiens
1948,76:05,80,Roland DUCARROZ,FR,,Cyclo Campeurs Parisiens
1948,76:05,123,Paul MÉNAGER,FR,,CO Billancourt
1948,76:19,78,Gilbert FONTENETTE,FR,,Cyclo Campeurs Parisiens
1948,76:19,79,Jasmine FONTENETTE,FR,F,Cyclo Campeurs Parisiens
1948,76:48,31,François JEZÉQUEL,FR,,Audax Club Parisien
1948,77:04,104,Fernand RIVIÈRE,FR,,AS Banque de France - Vic le Comte
1948,77:48,8,Pierre MARCHAND,FR,,CSM - Paris XIII
1948,77:53,109,Jacques SCHÉRER,FR,,VC Courbevoie - Bécon
1948,79:05,73,René CANALE,FR,,Saint Denis US
1948,79:05,66,Maurice MORLON,FR,,C. Cyclo Xème
1948,79:37,64,Pierre HÉAS,FR,,Montmartre Sp.
1948,79:37,65,Jean STEIN,FR,,Montmartre Sp.
1948,79:53,138,André CARALP,FR,,Audax Club Parisien
1948,79:53,26,Jacques PASSAYS,FR,,Audax Club Parisien
1948,79:58,76,Jean LHUILLIER,FR,,Cyclo Campeurs Parisiens
